Cover,Title,Author,Publisher,PublicationDate,Price,Description
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936434120.jpg,소년이 온다,한강,·,창비,10%,"2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』.
이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다. 
『소년이 온다』는 ‘상처의 구조에 대한 투시와 천착의 서사’를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명하며, 무고한 영혼들의 말을 대신 전하는 듯한 진심 어린 문장들로 5·18 이후를 살고 있는 우리에게 묵직한 질문을 던진다. 
이 작품은 가장 한국적인 서사로 세계를 사로잡은 한강 문학의 지향점을 보여준다. 인간의 잔혹함과 위대함을 동시에 증언하는 이 충일한 서사는 이렇듯 시공간의 한계를 넘어 인간 역사의 보편성을 보여주며 훼손되지 말아야 할 인간성을 절박하게 복원한다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936434595.jpg,채식주의자,한강,·,창비,10%,"2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 국내에서는 현재까지 100만부 가까이 판매되었다.

『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954682152.jpg,작별하지 않는다,한강,·,문학동네,10%,"2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791198517425.jpg,불변의 법칙,모건 하우절,·,서삼독,10%,"세계적인 베스트셀러 《돈의 심리학》의 저자 모건 하우절이 3년 만에 세상에 내놓은 신작.‘절대 변하지 않는 것들에 대한 23가지 이야기’를 전한다. 출간하자마자 아마존과 뉴욕타임스 베스트셀러 자리에 오르며 아마존 독자들과 오피니언 리더들의 극찬을 받았다. 
이번 책은 돈과 투자 영역은 물론이고, 인간의 본성과 세상의 이치에 관한 이야기를 두루 다루어 한층 더 다층적이고 복합적인 메시지를 담아냈다는 평가를 받는다. 모건 하우절은 사람들은 무엇이 변할 것인지에 대해 늘 관심을 갖지만, 미래에 대비하기 위해서는 오히려 과거에도 지금도 미래에도 변함이 없는‘불변의 법칙’에 대해 알아야 한다고 강조한다. 이에 1000년 후에도 유효할 인간의 행동양식과 반복패턴에 대한 흥미로운 역사 스토리와 일화들을 들려준다. 워런 버핏의 스니커즈, 빌 게이츠의 숨겨진 불안, 유발 하라리가 받은 뜻밖의 비난, 게임스탑 사태의 보이지 않는 변수, 벌지 전투의 최후, 마술사 후디니의 죽음 등, 한 편 한 편의 이야기가 마치 다큐소설처럼 펼쳐진다. 흥미로운 일화 속에 인간사를 꿰뚫는 통찰과 삶의 교훈을 구슬처럼 꿰어내어 “역시 모건 하우절이다”라는 찬사를 받았다. 스콧 갤러웨이, 라이온 홀리데이는 물론, 국내 유수의 리더들 또한 먼저 읽고 “대단한 책이다”라는 평가를 내놓았다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192300818.jpg,마흔에 읽는 쇼펜하우어,강용수,·,유노북스,10%,"마흔의 마음은 복잡하다. 그동안 수많은 시험을 치르고 자리 잡기 시작했지만, 한참 남은 인생이 기대되기보다 늘 그렇듯 같은 일상이 반복될 것이라는 생각을 하게 된다. 벌써부터 웬만한 일은 재미가 없고 뻔하게 느껴진다. 언제부터인가 “산다는 것은 괴로운 것이다”라는 말에 고개를 끄덕이게 됐다. 행복, 고통, 인생에 대해 고민하기 시작한 당신에게 쇼펜하우어의 조언이 필요할 때다.

“즐겁고 행복하게 사는 기술이 삶의 지혜다.”

행복과 고통에 대해 알기 시작할 때, 삶을 현실적으로 보고 싶을 때, 인생의 무게 중심을 옮겨야 할 때, 마음의 위기를 겪을 때, 쇼펜하우어를 빼놓고 인생을 논하지 마라. 쇼펜하우어는 인생에 고난과 고통이 어느 정도 필요하다며, 인생이 고통이라면 ‘진짜 행복’을 위한 고통을 겪으라고 말했다. 삶의 기준을 타인에게서 자신으로 옮기며 스스로 무너지고 깨지고 부서져 보면 새로운 것을 발견할 수 있다. 바로 자기 자신을 긍정하는 마음, 타인에게 비굴하지 않는 당당함, 스스로의 힘으로 살 수 있는 품격이다. 쇼펜하우어는 마음을 다스릴 수 있는 지혜들을 책으로 남겼다.

쇼펜하우어 철학은 프리드리히 니체, 아인슈타인, 카를 융, 바그너, 헤르만 헤세, 프란츠 카프카, 톨스토이 등 각계 명사들에게 영향과 영감을 주었다. 그런 그도 40대까지는 학계를 떠나 은둔 생활을 했다. 하지만 쇼펜하우어는 언제든 자신이 인정받을 것이라는 자부심을 갖고 흔들리지 않았다. 쇼펜하우어는 40대 중반부터 서서히 실력이 알려지며 세계적인 명성을 떨쳤다. 그에게 40대는 위기를 넘은 때이자 인생이 바뀐 분기점이다.

《마흔에 읽는 쇼펜하우어》는 인생의 의미를 끊임없이 고민한 철학자, 아르투어 쇼펜하우어가 남긴 철학적 사유 중에서 현시대 40대가 회의감과 상실감 등 마음의 위기를 다스리는 데 도움이 되는 내용 30가지를 담았다. 세계 거장들의 철학자이자 ‘생활 철학자’인 쇼펜하우어로부터 괴로움을 해소하는 법, 자기 인생에 집중하는 법, 자긍심을 갖는 법, 시간의 의미를 깨닫고 현명하게 사는 법, 그리하여 행복하게 사는 법을 배울 수 있다. 인생의 분기점에 서 있는 마흔에게 삶의 지혜를 줄 것이다.

가장 열정적으로 살아가는 인생의 황금기이자 ‘인생은 고통’이라는 인식에 다다르는 마흔, 또는 마흔을 앞두었거나 되돌아보는 나이라면 삶의 한계를 인정하면서도 주도적으로 살았던 쇼펜하우어를 만나 보라. 애써 위로하지 않아서 더 위로가 되는 쇼펜하우어의 냉철한 조언을 통해 인생의 고민들을 떨치고 마음을 다스리는 통찰력과 행복의 열쇠를 손에 쥘 수 있을 것이다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788998441012.jpg,모순,양귀자,·,쓰다,10%,"양귀자 소설의 힘을 보여준 베스트셀러 『모순』. 1998년에 초판이 출간된 이후 132쇄를 찍으며 여전히 많은 사랑을 받고 있는 작품을, 오래도록 소장할 수 있는 양장본으로 새롭게 선보인다. 스물다섯 살 미혼여성 안진진을 통해 모순으로 가득한 우리의 인생을 들여다본다. 작가 특유의 섬세한 문장들로 여러 인물들의 삶을 생생하게 그려내고 있다.

시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명 상태로 떠돌다 가끔씩 귀가하는 아버지, 조폭의 보스가 인생의 꿈인 남동생을 가족으로 둔 안진진. 어머니와 일란성 쌍둥이인 이모는 부유하지만 지루한 삶에 지쳐 있고, 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 안진진은 사뭇 다른 어머니와 이모의 삶을 바라보며 모순투성이인 삶을 어떻게 이해해야 하는지 고민하기 시작하는데…."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788901276533.jpg,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,·,웅진지식하우스,10%,"“나의 결혼식이 열렸어야 했던 날, 형의 장례식이 거행되었다.
그해 가을, 나는 다니던 《뉴요커》를 그만두고 
메트로폴리탄 미술관의 경비원으로 지원했다. 
그렇게 한동안은 고요하게 서 있고 싶었다”


2024년 독자들의 뜨거운 사랑을 받은 에세이 『나는 메트로폴리탄 미술관의 경비원입니다』가 ‘20만 부 기념 양장 에디션’으로 새롭게 태어났다. 2023년 11월 초판이 출간되어 ‘메트로폴리탄 열풍’을 불러일으킨 지 꼭 1년 만이다. 한정판으로 발간된 20만 부 기념 양장 에디션은 메트로폴리탄 미술관 특유의 고즈넉함을 상징하는 세피아 톤과 삶에 대한 희망을 상징하는 레드 톤이 어우러진 감각적인 표지로 재탄생했다. 이와 함께 양장본 표지에 사용된 엔젤클로스 종이 특유의 질감은 마치 전시회 도록을 보는 듯한 고급스러움을 더한다.

아울러 20만 부 기념 양장 에디션에는 한국 독자들에게 전하는 저자 패트릭 브링리의 특별 서문을 담았다. “고독 속에서 쓴 책이 언어의 장벽을 넘고 바다를 건너 수많은 사람들과 깊숙이 연결될 수 있다는 사실을 알게 되어 감사하다”는 저자의 말처럼, 한국 독자를 향한 애정과 존중은 물론 인생과 예술에 대한 특유의 유려하고 위트 있는 문장을 감상할 수 있다.

이번 양장 에디션은 독자들에게 또 하나의 특별한 선물을 선사한다. QR코드를 찍기만 하면 본문 속 186가지 예술 작품을 한눈에 볼 수 있는 별책부록이 바로 그것이다. 일전에 한정판으로 제작된 이후 쇄도하는 독자들의 요청에 응답해 20만 부를 기념해 다시 한 번 증정한다. 마지막으로 양장 에디션 구매 독자들은 책 속에 삽입된 QR코드를 통해 2025년 예정인 저자 방한 기념 독자 초대 이벤트에 응모할 수 있다. 

상실의 아픔 속에서 길어 올린 삶과 예술의 의미를 들려주며 전 세계에서 ‘눈부시게 아름다운 이야기’라는 찬사를 받은 이 책은 한 해가 저물어가는 이 시점에 더욱 의미 있게 다가온다. 오랜 슬픔과 무기력에서 한 걸음 내딛고 싶은 이들, 소용돌이치는 삶에서 치유와 사색이 필요한 이들에게 20주년 기념 양장 에디션은 더욱 감동적인 연말 선물이 되어줄 것이다.

* 이 책은 2023년 출간된 『나는 메트로폴리탄 미술관의 경비원입니다』  초판의 20만 부 기념 양장 에디션으로 한국어판 특별 서문을 제외한 도서 내용은 초판과 동일합니다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168473690.jpg,세이노의 가르침,세이노(SayNo),·,데이원,10%,"2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 《세이노의 가르침》이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다.

더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.

*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다."
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954651134.jpg,흰,한강,·,문학동네,10%,"한국인 최초 맨부커상 수상 작가 한강의 소설 『흰』. 2018년 맨부커 인터네셔널 부문 최종후보작으로 선정된 이 작품은, 2013년 겨울에 기획해 2014년에 완성된 초고를 바탕으로 글의 매무새를 닳도록 만지고 또 어루만져서 2016년 5월에 처음 펴냈던 책이다. 삶과 죽음이라는 경계를 무력하게 만드는 이 소설은 한 권의 시집으로 읽힘에 손색이 없는 65편의 이야기로 구성되어 있다. 

강보, 배내옷, 각설탕, 입김, 달, 쌀, 파도, 백지, 백발, 수의…. 작가로부터 불려나온 흰 것의 목록은 총 65개의 이야기로 파생되어 ‘나’와 ‘그녀’와 ‘모든 흰’이라는 세 개의 장 아래 담겨 있다. 한 권의 소설이지만 각 소제목, 흰 것의 목록들 아래 각각의 이야기들이 그 자체로 밀도 있는 완성도를 자랑한다. 

‘나’에게는 죽은 어머니가 스물세 살에 낳았다 태어난 지 두 시간 만에 죽었다는 ‘언니’의 사연이 있다. 나는 지구의 반대편의 오래된 한 도시로 옮겨온 뒤에도 자꾸만 떠오르는 오래된 기억들에 사로잡힌다. 나에게서 비롯된 이야기는 ‘그녀’에게로 시선을 옮겨간다. 나는 그녀가 나대신 이곳으로 왔다고 생각하고, 그런 그녀를 통해 세상의 흰 것들을 다시금 만나기에 이른다."
